10,10,11,11,10,11,11,11,11,12,12,13,16,23,31,33,28,19,13,11,13,11,12,10,12,12,11,12,12,10,10,9,9,10,9,10,10,10,9,8,9,10,10,10,10,10,11,9,8,10,10,9,11,10,9,9,10,10,10,9,8,8,9,9,9,7,8,8,9,9,8,8,10,10,10,8,10,10,9,9,10,10,9,9,10,10,11,11,10,9,10,8,11,11,11,9,11,10,10,10
10,11,10,12,10,11,13,13,13,13,12,14,16,16,19,19,17,14,13,11,14,13,12,14,14,14,12,11,11,11,10,10,9,8,11,10,11,11,10,9,10,10,9,10,9,11,11,9,9,10,9,10,9,9,9,9,9,10,9,9,9,10,10,9,8,10,9,8,9,9,7,9,10,9,9,10,9,11,10,13,9,11,10,9,8,11,10,11,9,11,10,11,10,11,12,11,11,12,11,11
10,11,11,10,10,10,11,12,12,12,15,14,15,14,16,15,14,12,12,12,13,13,16,13,18,16,13,13,12,12,10,12,9,9,9,9,10,10,10,9,10,9,8,8,10,10,11,9,9,10,9,9,11,10,9,7,9,10,11,9,8,9,9,9,9,9,9,9,9,8,10,10,9,10,9,9,9,10,9,10,10,10,10,10,9,10,11,10,10,10,10,11,11,13,12,12,11,11,12,11
9,10,10,9,10,10,12,14,12,12,13,15,15,16,16,16,14,12,11,12,12,16,22,23,23,21,16,13,12,10,10,10,9,8,10,10,11,10,9,8,9,10,9,10,10,11,9,8,9,10,9,9,9,10,9,10,9,10,9,10,9,9,11,9,10,9,8,8,9,9,7,9,10,10,9,10,9,10,9,12,9,11,8,9,9,10,10,10,11,11,9,10,12,13,14,16,13,14,12,12
11,12,12,9,12,11,13,14,15,13,13,16,16,18,19,20,14,11,13,13,17,21,27,32,29,26,19,13,13,11,11,10,9,9,9,8,10,9,10,11,10,9,9,9,11,11,11,9,11,10,9,9,10,9,11,9,10,10,9,9,8,10,10,10,10,9,9,10,9,9,8,9,9,8,10,11,10,11,10,8,11,9,11,9,9,10,11,9,10,11,11,11,13,16,17,17,16,16,14,14
11,13,11,12,10,10,15,16,14,13,14,16,18,24,31,34,25,17,13,13,20,27,39,35,29,26,18,15,12,11,10,10,11,9,8,9,8,10,9,11,12,12,10,9,9,10,11,11,10,9,9,9,10,9,9,10,8,9,9,10,10,11,11,11,11,9,8,9,7,9,8,9,9,9,10,8,10,10,9,10,9,9,8,8,9,11,9,11,10,13,11,12,17,27,26,20,19,17,14,12
12,13,11,10,13,13,13,14,15,12,13,14,20,33,50,46,40,22,14,16,22,32,40,30,30,26,23,17,13,10,9,9,10,10,8,8,9,10,10,11,12,11,11,9,9,13,12,11,12,10,11,11,10,11,10,10,10,9,11,10,12,11,11,12,11,9,9,9,10,9,9,10,9,9,9,10,11,10,10,12,10,10,9,9,10,10,10,10,10,11,11,14,27,48,47,29,20,15,14,13
12,13,12,12,12,12,13,15,13,13,11,13,17,30,45,55,44,26,18,15,19,27,28,27,26,33,29,19,12,11,10,10,9,10,9,9,10,10,8,10,11,12,11,13,11,16,14,10,11,12,10,10,9,9,11,9,10,9,9,10,13,15,12,13,11,11,9,9,10,10,11,10,9,10,9,9,9,9,10,9,8,9,9,9,8,8,8,9,9,10,11,16,38,64,61,40,20,13,13,12
12,13,12,12,11,13,13,15,16,13,14,13,19,23,29,35,32,22,19,14,17,18,19,22,35,45,44,25,13,11,11,9,9,9,10,10,10,9,9,9,10,12,11,12,18,28,28,16,10,11,11,10,10,8,10,9,10,9,11,12,14,14,15,12,14,11,11,8,9,10,9,10,10,9,9,8,9,9,9,9,9,9,10,11,10,9,10,9,10,11,13,17,35,58,58,38,24,15,12,13
13,12,12,13,14,15,20,25,18,16,17,16,16,15,16,16,17,17,13,12,13,14,14,21,40,62,61,38,18,12,9,8,8,11,9,11,10,10,8,9,9,11,11,13,26,48,46,26,14,12,11,12,10,10,10,9,10,10,10,12,14,15,16,14,14,12,10,11,11,11,11,11,9,10,11,11,10,8,10,9,10,10,10,10,10,10,9,11,11,11,14,18,22,32,31,27,21,17,13,12
11,13,13,13,14,19,29,41,38,22,18,15,13,12,13,13,13,13,11,14,14,14,16,21,36,60,65,46,26,14,11,9,9,10,9,9,10,9,11,10,9,9,9,14,30,52,52,32,18,13,11,11,10,10,11,10,10,10,11,12,13,13,17,17,19,15,13,9,11,11,11,9,11,11,11,11,11,10,10,10,10,10,11,9,10,10,9,11,12,13,16,15,16,16,15,14,13,14,13,16
13,13,13,13,16,30,52,71,55,30,18,14,13,14,12,13,13,12,11,13,12,15,17,21,27,41,48,40,26,17,12,11,10,9,10,8,8,9,9,11,10,10,11,13,21,32,35,24,16,12,9,10,10,10,10,11,11,10,11,11,12,12,14,19,22,20,14,11,10,10,10,12,12,11,11,12,10,9,12,10,11,9,9,10,9,9,10,11,11,13,12,16,16,20,15,13,10,12,15,15
17,16,12,14,21,34,63,75,60,35,19,15,13,15,15,13,13,11,12,14,14,17,18,18,20,25,34,30,24,17,14,11,10,9,8,9,8,10,10,11,10,10,13,12,14,16,16,15,12,12,12,12,11,12,11,11,10,12,11,11,11,12,15,20,21,20,18,12,11,11,11,11,12,11,14,15,13,12,12,10,10,10,9,9,9,8,9,11,10,10,13,16,22,25,21,13,12,14,14,16
26,17,13,15,21,32,47,57,43,32,21,16,14,14,13,14,13,11,12,16,18,16,16,17,16,17,22,22,20,17,13,13,11,12,8,8,7,9,9,12,10,11,11,13,11,10,11,11,9,11,11,14,12,12,11,12,11,13,11,12,12,13,15,18,21,20,17,14,12,11,10,12,11,15,21,26,19,13,10,11,10,11,10,10,9,9,10,11,10,10,10,16,22,23,19,12,13,13,12,17
31,20,16,16,19,24,28,29,27,20,17,14,15,13,14,13,13,13,19,26,31,27,21,17,18,19,18,16,15,11,13,11,11,10,8,14,9,8,11,11,11,10,10,12,12,12,11,12,13,14,15,13,13,13,14,13,12,11,12,12,12,12,16,18,19,18,16,12,11,11,12,10,11,20,31,33,27,14,12,11,10,11,11,9,10,9,9,10,10,10,12,14,17,17,15,11,13,13,16,26
25,21,19,15,17,15,16,14,17,17,16,14,14,15,15,14,15,16,26,45,58,47,31,21,27,29,23,16,14,13,10,10,9,10,9,9,9,9,8,11,10,11,10,11,11,14,13,13,13,16,16,16,13,15,14,14,13,13,10,14,12,15,18,22,20,18,15,14,11,12,11,11,15,24,36,39,28,19,13,12,11,11,11,12,9,11,10,11,11,9,12,10,12,14,11,11,11,12,18,41
