10,11,13,16,24,42,57,50,29,16,12,10,9,9,9,9,10,9,9,8,9,9,10,9,12,8,10,9,10,9,12,18,21,20,15,11,9,10,10,10,9,10,10,13,13,15,15,11,10,9,10,8,9,9,9,8,8,9,8,8,9,8,7,8,9,7,8,8,7,7,8,7,8,6,8,8,8,7,9,8,8,8,7,8,7,9,8,8,9,10,15,12,10,8,9,7,8,7,7,8
10,10,12,15,25,42,45,39,24,15,10,9,9,9,9,8,8,10,8,8,7,10,9,9,8,10,10,10,9,10,10,13,12,13,11,10,9,11,11,10,12,11,9,10,10,12,12,11,10,9,9,8,9,9,8,8,9,9,8,8,8,8,9,7,9,7,8,6,6,8,7,8,7,8,6,9,8,8,8,9,8,7,8,8,8,9,9,11,9,16,21,20,12,9,9,9,6,7,8,8
10,11,12,17,28,42,44,29,18,12,10,10,10,8,9,8,9,9,8,8,10,10,11,10,9,11,9,9,10,8,8,9,10,9,10,8,9,10,11,11,12,11,9,9,11,13,11,9,10,9,8,7,8,9,9,8,9,8,9,6,8,8,9,9,10,8,8,7,8,7,7,7,8,7,7,8,7,8,7,8,8,8,6,8,8,8,8,8,13,29,38,29,17,11,9,7,8,7,9,7
9,11,12,14,22,29,30,20,12,10,10,9,10,10,9,10,11,11,9,10,9,13,13,11,9,9,10,10,10,9,8,9,9,9,8,11,10,10,12,13,13,13,11,11,11,10,10,9,8,9,9,8,7,9,7,8,10,7,8,7,8,9,9,9,7,9,7,7,7,7,6,6,6,7,6,8,7,7,8,8,6,8,7,8,7,7,8,9,17,38,48,37,21,11,8,8,7,8,8,7
8,10,11,12,13,18,18,15,12,9,8,9,10,10,9,11,11,11,11,10,14,22,22,14,11,10,10,9,9,8,8,9,9,9,10,9,11,12,15,19,22,20,15,12,10,10,10,8,9,9,8,8,8,8,8,8,8,8,9,9,8,9,9,9,9,7,8,7,7,7,8,7,6,7,8,7,8,7,9,9,9,8,9,8,7,7,9,10,16,31,36,27,17,11,8,8,8,8,8,9
10,10,12,11,10,13,13,12,8,8,9,8,10,11,8,10,12,12,12,14,23,41,35,25,12,10,10,10,8,8,8,9,8,9,9,11,12,20,25,31,29,24,17,12,9,9,9,9,9,8,7,8,7,8,9,9,8,9,8,8,9,9,9,11,9,8,7,7,7,8,9,8,8,7,7,8,9,8,8,9,11,9,8,7,7,8,9,8,10,15,16,14,12,10,9,9,8,7,8,9
10,10,10,10,9,10,11,10,10,8,8,7,9,10,10,10,10,12,14,18,33,48,49,31,16,12,10,9,9,8,10,8,8,8,11,12,18,29,41,36,31,22,15,11,10,10,9,8,9,8,6,7,8,8,10,8,9,8,9,9,8,9,10,11,8,9,8,8,7,9,8,9,8,8,7,7,8,8,8,9,11,9,9,8,8,8,8,8,7,8,9,10,9,9,9,8,9,9,10,9
10,9,11,9,10,9,11,9,9,9,9,8,10,8,10,11,12,12,13,20,32,44,39,27,16,10,9,10,11,10,9,10,8,8,10,12,20,33,40,35,24,15,12,11,9,7,9,8,8,8,9,7,6,8,9,9,8,10,8,9,9,10,10,12,10,8,8,9,9,10,11,9,8,9,7,7,8,8,9,10,10,11,8,8,8,9,7,7,8,8,9,9,9,8,8,8,9,9,8,9
11,9,10,10,10,10,11,10,8,9,8,8,9,9,11,10,10,10,14,14,21,25,24,17,12,12,10,9,11,10,9,10,9,9,12,13,18,22,25,21,17,11,10,9,9,8,8,8,7,8,8,6,7,6,9,9,10,10,9,10,10,14,18,18,14,11,8,11,9,9,9,8,8,7,7,7,8,8,8,8,10,7,8,8,8,6,8,8,7,9,9,9,8,9,8,9,8,7,7,8
13,10,10,11,9,10,10,9,8,8,9,8,10,9,11,9,10,11,12,10,10,13,14,13,12,9,10,9,9,9,9,9,9,9,9,11,11,12,12,10,10,11,8,9,9,9,8,8,8,6,7,7,7,9,9,9,8,12,11,11,15,27,32,32,21,15,10,11,9,10,9,7,10,7,7,7,8,8,8,7,7,8,7,7,7,7,7,7,7,9,9,8,9,9,8,7,8,7,8,8
17,10,11,8,11,11,10,8,8,9,9,8,9,10,11,12,10,9,10,10,9,12,18,17,14,10,11,9,9,10,10,8,9,10,9,8,9,9,9,10,9,8,8,8,9,8,8,8,9,8,6,7,6,7,8,8,9,8,11,12,25,45,61,55,39,22,13,10,9,7,8,9,8,7,7,6,8,7,8,7,8,6,8,7,7,6,7,6,8,8,9,9,10,9,8,9,9,9,9,8
15,11,10,9,10,11,10,10,9,10,8,10,9,10,12,13,10,10,9,8,11,13,18,19,15,12,10,8,9,9,9,10,9,9,8,9,9,9,10,9,9,8,8,10,8,8,8,9,8,9,7,8,7,8,8,11,11,10,11,18,37,69,85,81,52,24,15,9,9,7,8,8,7,9,8,8,7,9,8,8,7,9,7,8,7,6,8,7,8,8,9,9,9,8,7,9,8,9,9,9
13,10,9,11,10,11,9,8,8,9,9,10,9,11,12,13,11,10,9,8,9,11,13,13,11,10,10,9,9,9,9,8,9,8,7,7,8,8,9,8,8,8,9,9,7,8,8,7,8,7,8,8,8,8,10,11,11,11,14,26,53,76,89,75,51,27,14,10,7,7,9,7,7,8,7,8,7,8,7,8,7,7,7,6,7,6,7,7,8,8,9,8,9,8,8,7,9,8,9,7
11,8,10,10,10,9,9,8,8,10,9,10,9,14,17,18,13,10,10,9,10,9,8,11,8,8,9,8,8,8,9,8,9,8,7,9,8,7,9,9,8,10,8,7,7,8,8,8,8,7,7,9,9,8,10,11,11,11,18,40,62,77,64,51,33,20,14,10,8,8,10,7,7,7,8,7,7,9,8,8,8,7,9,7,7,8,6,7,8,9,8,9,8,6,7,9,8,8,8,9
10,9,9,9,10,9,8,9,8,9,8,10,10,19,30,30,20,11,9,8,8,8,9,7,7,8,8,10,9,10,8,9,9,8,8,8,9,7,6,8,7,7,6,7,8,6,7,8,8,8,7,8,10,11,11,10,11,13,24,41,62,68,48,30,21,14,11,9,8,8,8,8,10,7,8,7,7,7,9,7,9,7,8,8,7,7,8,7,8,9,9,8,8,9,7,8,8,8,9,9
10,9,9,9,10,9,10,8,8,9,8,10,12,23,37,38,26,14,10,7,8,8,8,8,8,7,8,9,8,9,8,10,8,10,9,7,7,8,8,8,8,9,8,7,7,8,8,8,9,9,8,8,9,10,10,11,12,15,22,34,49,46,36,26,16,11,9,9,8,8,8,9,8,9,9,9,8,7,6,7,8,8,7,8,12,9,7,8,8,8,8,8,8,9,7,8,8,9,9,10
8,10,10,10,10,9,10,9,9,9,9,9,11,19,29,28,22,14,9,9,9,8,9,8,8,8,7,7,9,8,9,8,9,8,10,8,8,7,7,7,7,8,8,8,7,7,8,8,10,8,10,8,8,9,10,10,12,16,18,24,30,27,24,19,13,10,9,8,8,8,8,8,8,8,10,8,9,8,7,8,7,7,8,7,8,8,9,8,9,10,9,9,9,7,7,8,7,8,8,8
9,10,10,9,9,9,8,9,9,10,9,11,11,13,14,16,15,12,11,10,8,8,9,9,8,9,8,10,8,9,8,9,9,9,9,8,8,9,8,8,8,9,8,9,8,8,7,9,10,9,9,8,10,11,10,11,10,12,11,15,16,17,15,13,10,9,8,8,8,10,8,9,10,10,9,8,7,8,7,9,7,7,8,7,8,8,9,9,7,9,9,9,8,9,8,8,8,9,8,8
9,9,10,9,10,9,8,10,9,9,9,10,10,9,10,9,10,10,10,10,9,9,9,8,8,8,8,8,8,10,9,9,9,9,8,9,9,8,8,8,8,7,6,7,8,8,9,9,10,10,10,10,10,10,10,8,9,9,10,10,12,11,13,11,10,10,9,8,9,8,8,8,8,9,8,8,8,7,8,8,8,8,9,7,8,8,8,8,10,9,9,9,8,9,8,8,8,7,8,9
8,10,10,9,9,9,10,9,9,9,8,9,10,10,11,10,10,9,9,10,10,9,8,7,7,8,8,7,8,8,9,8,10,8,9,9,9,9,8,7,7,8,7,9,9,8,9,10,8,10,10,9,10,12,8,8,7,9,9,9,10,10,10,10,7,8,7,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,9,10,9,9,8,9,10,8,9,9,9,8,8,6,7,9,7
10,9,10,9,10,10,9,9,9,8,9,10,9,8,10,8,9,9,9,7,9,8,8,8,8,8,8,8,9,8,9,9,9,9,9,9,8,9,8,8,9,8,8,8,9,8,8,9,10,10,10,8,11,8,10,8,9,9,9,9,10,8,8,9,9,8,8,8,9,7,9,7,9,6,7,8,8,8,9,7,9,10,11,9,8,7,8,9,8,9,9,10,9,9,9,8,9,10,8,8
