6,7,7,7,8,9,8,9,9,9,8,11,15,14,11,10,10,10,10,10,10,9,10,13,15,22,28,28,24,18,15,11,9,8,9,7,7,6,7,6,6,6,6,7,6,7,6,6,7,7,7,7,8,8,8,8,8,7,6,7,7,7,6,6,6,6,6,6,7,8,7,6,7,6,7,6,8,7,7,7,8,8,8,7,8,7,8,7,9,8,8,8,10,8,7,7,7,7,8,7
7,7,6,7,7,8,8,9,10,9,8,9,12,13,12,10,11,9,9,9,11,12,12,13,22,31,39,39,30,18,14,10,9,8,7,6,6,7,6,8,6,7,5,6,7,7,7,7,7,8,7,8,8,9,8,9,6,8,7,8,7,7,7,7,6,6,6,7,8,7,7,7,6,6,7,7,7,7,7,7,8,8,8,7,8,8,6,8,8,7,8,7,8,7,7,8,7,8,8,8
7,7,8,7,9,10,9,8,10,9,9,8,10,10,10,8,10,9,10,10,10,10,12,16,29,44,58,57,42,23,14,9,9,7,6,8,7,6,8,7,7,8,7,7,7,7,7,7,9,8,8,7,8,9,7,8,8,7,6,7,6,7,7,7,8,7,6,7,7,6,7,6,7,6,7,7,8,8,8,7,8,7,8,7,8,7,8,9,8,8,8,9,8,8,9,6,7,6,7,7
7,7,7,9,11,12,11,9,9,9,8,9,8,10,9,9,8,9,8,8,9,10,12,20,35,58,64,64,43,23,15,11,9,10,8,6,7,6,6,6,7,7,6,7,7,8,7,9,9,10,9,7,8,7,9,8,7,7,7,7,7,8,8,8,8,7,6,8,6,8,7,6,7,7,7,7,8,8,9,6,7,7,8,7,8,9,8,8,7,8,7,8,9,7,7,8,6,8,7,6
9,8,9,10,17,20,19,9,9,10,10,8,9,7,8,8,9,8,9,9,10,10,15,23,38,52,62,58,42,25,17,11,11,8,8,7,7,7,7,7,6,8,7,6,7,7,8,10,14,15,11,9,8,8,8,7,8,6,8,7,8,8,8,6,8,8,8,8,7,9,8,8,8,7,8,8,9,7,8,7,7,8,6,6,8,7,6,8,9,8,7,7,9,8,8,6,7,6,7,6
9,10,12,15,26,41,27,14,11,10,8,7,9,7,8,9,6,9,9,8,10,12,14,23,33,43,48,42,35,23,17,13,11,9,9,8,7,7,6,8,7,7,6,7,7,7,9,15,22,21,15,9,9,7,9,7,6,7,7,8,6,8,7,7,7,7,6,7,8,9,9,8,8,9,8,8,7,7,7,8,6,6,6,7,7,6,8,7,7,9,9,9,8,7,8,7,7,6,8,7
9,12,14,24,52,62,45,19,12,9,8,7,8,7,7,8,9,8,10,10,8,11,15,17,26,32,35,28,24,18,13,12,12,10,9,8,8,6,6,7,7,7,7,6,7,9,13,19,29,24,16,10,8,8,8,8,8,6,6,7,8,8,7,6,7,6,8,8,8,8,8,9,9,7,9,10,7,7,7,7,6,7,7,7,7,6,8,7,8,8,8,8,8,8,9,7,7,7,9,9
11,15,21,42,70,92,59,25,11,10,8,9,8,8,7,9,9,9,10,9,9,12,13,16,19,25,28,25,19,16,13,10,11,11,9,9,8,7,6,7,7,7,7,7,6,11,15,21,24,21,15,11,9,10,9,8,7,8,7,7,7,8,6,8,6,7,6,8,6,8,8,9,7,7,7,8,7,7,7,7,7,8,7,7,7,7,8,8,8,8,7,7,7,8,7,8,6,8,8,9
13,16,28,44,72,88,65,28,15,10,9,9,9,8,7,7,9,7,9,9,9,10,11,11,16,22,31,26,18,14,11,10,10,9,10,7,8,6,7,6,8,7,8,8,8,11,15,18,20,18,15,11,9,9,9,9,7,8,6,6,6,7,7,6,7,7,8,7,7,6,8,7,7,7,8,8,8,7,7,8,6,7,6,7,6,7,7,7,7,8,8,7,7,7,8,7,9,9,8,9
14,19,27,44,61,66,48,24,14,11,10,10,10,9,9,9,7,8,9,10,7,9,8,11,15,25,33,28,19,11,8,8,8,9,8,9,7,6,8,8,10,9,10,7,9,9,10,13,13,15,11,11,9,9,7,9,7,8,6,7,7,7,6,6,6,8,5,5,6,6,6,7,7,9,7,6,7,7,7,6,7,6,7,6,7,7,7,8,8,7,8,8,6,6,7,7,8,8,8,9
14,20,25,32,41,39,30,20,15,11,9,9,10,8,9,8,8,8,9,9,8,8,11,11,16,24,34,29,21,12,9,7,8,7,8,7,8,7,8,9,12,13,11,9,9,7,8,10,9,10,9,10,8,9,10,9,9,8,8,7,7,8,7,6,7,7,6,6,6,7,7,6,6,7,9,8,7,8,6,7,7,6,7,7,5,5,6,7,7,7,8,8,7,6,8,7,8,8,9,9
